"transactionnum";"tmessage";"action";"logdate";"num";"usernum";"itemnum";"docrevnum";"registernum";"actionnum";"subactionnum";"severityflag";"tracelvl";"extrainfo1";"extrainfo2"
"77536";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:03";"273354";"147";"273354";"0";"101";"6";"46";"0";"0";"133";"459"
"77537";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:03";"273355";"147";"273355";"0";"101";"6";"46";"0";"0";"133";"459"
"77538";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:04";"273369";"147";"273369";"0";"101";"6";"46";"0";"0";"133";"459"
"77539";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:04";"273371";"147";"273371";"0";"101";"6";"46";"0";"0";"133";"459"
"77540";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:05";"273375";"147";"273375";"0";"101";"6";"46";"0";"0";"133";"459"
"77541";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:05";"273383";"147";"273383";"0";"101";"6";"46";"0";"0";"133";"459"
"77542";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:05";"273385";"147";"273385";"0";"101";"6";"46";"0";"0";"133";"459"
"77543";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:06";"273390";"147";"273390";"0";"101";"6";"46";"0";"0";"133";"459"
"77544";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:06";"273423";"147";"273423";"0";"101";"6";"46";"0";"0";"133";"459"
"77545";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:07";"273434";"147";"273434";"0";"101";"6";"46";"0";"0";"133";"459"
"77546";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:07";"273441";"147";"273441";"0";"101";"6";"46";"0";"0";"133";"459"
"77547";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:07";"273443";"147";"273443";"0";"101";"6";"46";"0";"0";"133";"459"
"77548";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:08";"273444";"147";"273444";"0";"101";"6";"46";"0";"0";"133";"459"
"77549";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:08";"273452";"147";"273452";"0";"101";"6";"46";"0";"0";"133";"459"
"77550";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:09";"273454";"147";"273454";"0";"101";"6";"46";"0";"0";"133";"459"
"77551";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:09";"273470";"147";"273470";"0";"101";"6";"46";"0";"0";"133";"459"
"77552";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:10";"273472";"147";"273472";"0";"101";"6";"46";"0";"0";"133";"459"
"77553";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:10";"273485";"147";"273485";"0";"101";"6";"46";"0";"0";"133";"459"
"77554";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:11";"273486";"147";"273486";"0";"101";"6";"46";"0";"0";"133";"459"
"77555";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:11";"273490";"147";"273490";"0";"101";"6";"46";"0";"0";"133";"459"
"77556";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:11";"273494";"147";"273494";"0";"101";"6";"46";"0";"0";"133";"459"
"77557";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:12";"273502";"147";"273502";"0";"101";"6";"46";"0";"0";"133";"459"
"77558";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:12";"273507";"147";"273507";"0";"101";"6";"46";"0";"0";"133";"459"
"77559";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:13";"273514";"147";"273514";"0";"101";"6";"46";"0";"0";"133";"459"
"77560";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:13";"273517";"147";"273517";"0";"101";"6";"46";"0";"0";"133";"459"
"77561";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:14";"273519";"147";"273519";"0";"101";"6";"46";"0";"0";"133";"459"
"77562";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:14";"273527";"147";"273527";"0";"101";"6";"46";"0";"0";"133";"459"
"77563";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:15";"273528";"147";"273528";"0";"101";"6";"46";"0";"0";"133";"459"
"77564";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:15";"273533";"147";"273533";"0";"101";"6";"46";"0";"0";"133";"459"
"77565";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:15";"273536";"147";"273536";"0";"101";"6";"46";"0";"0";"133";"459"
"77566";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:16";"273543";"147";"273543";"0";"101";"6";"46";"0";"0";"133";"459"
"77567";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:16";"273544";"147";"273544";"0";"101";"6";"46";"0";"0";"133";"459"
"77568";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:17";"273545";"147";"273545";"0";"101";"6";"46";"0";"0";"133";"459"
"77569";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:17";"273551";"147";"273551";"0";"101";"6";"46";"0";"0";"133";"459"
"77570";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:17";"273554";"147";"273554";"0";"101";"6";"46";"0";"0";"133";"459"
"77571";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:18";"273555";"147";"273555";"0";"101";"6";"46";"0";"0";"133";"459"
"77572";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:18";"273557";"147";"273557";"0";"101";"6";"46";"0";"0";"133";"459"
"77573";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:20";"273558";"147";"273558";"0";"101";"6";"46";"0";"0";"133";"459"
"77574";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:21";"273560";"147";"273560";"0";"101";"6";"46";"0";"0";"133";"459"
"77575";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:21";"273562";"147";"273562";"0";"101";"6";"46";"0";"0";"133";"459"
"77576";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:21";"273564";"147";"273564";"0";"101";"6";"46";"0";"0";"133";"459"
"77577";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:22";"273565";"147";"273565";"0";"101";"6";"46";"0";"0";"133";"459"
"77578";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:22";"273567";"147";"273567";"0";"101";"6";"46";"0";"0";"133";"459"
"77579";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:23";"273568";"147";"273568";"0";"101";"6";"46";"0";"0";"133";"459"
"77580";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:23";"273573";"147";"273573";"0";"101";"6";"46";"0";"0";"133";"459"
"77581";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:23";"273575";"147";"273575";"0";"101";"6";"46";"0";"0";"133";"459"
"77582";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:24";"273581";"147";"273581";"0";"101";"6";"46";"0";"0";"133";"459"
"77583";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:24";"273583";"147";"273583";"0";"101";"6";"46";"0";"0";"133";"459"
"77584";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:25";"273587";"147";"273587";"0";"101";"6";"46";"0";"0";"133";"459"
"77585";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:25";"273591";"147";"273591";"0";"101";"6";"46";"0";"0";"133";"459"
"77586";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:26";"273593";"147";"273593";"0";"101";"6";"46";"0";"0";"133";"459"
"77587";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:26";"273599";"147";"273599";"0";"101";"6";"46";"0";"0";"133";"459"
"77588";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:27";"273617";"147";"273617";"0";"101";"6";"46";"0";"0";"133";"459"
"77589";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:27";"273619";"147";"273619";"0";"101";"6";"46";"0";"0";"133";"459"
"77590";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:27";"273628";"147";"273628";"0";"101";"6";"46";"0";"0";"133";"459"
"77591";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:28";"273629";"147";"273629";"0";"101";"6";"46";"0";"0";"133";"459"
"77592";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:28";"273631";"147";"273631";"0";"101";"6";"46";"0";"0";"133";"459"
"77593";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:29";"273632";"147";"273632";"0";"101";"6";"46";"0";"0";"133";"459"
"77594";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:29";"274154";"147";"274154";"0";"101";"6";"46";"0";"0";"133";"459"
"77595";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:30";"274157";"147";"274157";"0";"101";"6";"46";"0";"0";"133";"459"
"77596";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:30";"274166";"147";"274166";"0";"101";"6";"46";"0";"0";"133";"459"
"77597";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:31";"274167";"147";"274167";"0";"101";"6";"46";"0";"0";"133";"459"
"77598";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:31";"274171";"147";"274171";"0";"101";"6";"46";"0";"0";"133";"459"
"77599";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:31";"274173";"147";"274173";"0";"101";"6";"46";"0";"0";"133";"459"
"77600";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:32";"274178";"147";"274178";"0";"101";"6";"46";"0";"0";"133";"459"
"77601";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:32";"274179";"147";"274179";"0";"101";"6";"46";"0";"0";"133";"459"
"77602";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:33";"274190";"147";"274190";"0";"101";"6";"46";"0";"0";"133";"459"
"77603";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:33";"274194";"147";"274194";"0";"101";"6";"46";"0";"0";"133";"459"
"77604";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:34";"274195";"147";"274195";"0";"101";"6";"46";"0";"0";"133";"459"
"77605";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:34";"274211";"147";"274211";"0";"101";"6";"46";"0";"0";"133";"459"
"77606";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:34";"274213";"147";"274213";"0";"101";"6";"46";"0";"0";"133";"459"
"77607";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:35";"274219";"147";"274219";"0";"101";"6";"46";"0";"0";"133";"459"
"77608";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:35";"274235";"147";"274235";"0";"101";"6";"46";"0";"0";"133";"459"
"77609";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:36";"274241";"147";"274241";"0";"101";"6";"46";"0";"0";"133";"459"
"77610";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:36";"274242";"147";"274242";"0";"101";"6";"46";"0";"0";"133";"459"
"77611";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:37";"274248";"147";"274248";"0";"101";"6";"46";"0";"0";"133";"459"
"77612";"Document Retention Purge Process- TST - LC2 1 week retention - 20.02.2024";"67108870";"27.02.2024 00:02:37";"274250";"147";"274250";"0";"101";"6";"46";"0";"0";"133";"459"
"77613";"Document Retention Purge Process- TST - LC1 1 day retention - 26.02.2024";"67108870";"27.02.2024 00:02:37";"275006";"147";"275006";"0";"101";"6";"46";"0";"0";"134";"459"
"77614";"Document Retention Purge Process- TST - LC0 0 retention - 26.02.2024";"67108870";"27.02.2024 00:02:38";"275009";"147";"275009";"0";"101";"6";"46";"0";"0";"131";"459"
"77615";"Document Retention Purge Process- TST - LC1 1 day retention - 26.02.2024";"67108870";"27.02.2024 00:02:38";"275010";"147";"275010";"0";"101";"6";"46";"0";"0";"134";"459"
"77616";"Document Retention Purge Process- TST - LC1 1 day retention - 26.02.2024";"67108870";"27.02.2024 00:02:39";"275011";"147";"275011";"0";"101";"6";"46";"0";"0";"134";"459"
"77617";"Document Retention Purge Process- TST - LC0 0 retention - 26.02.2024";"67108870";"27.02.2024 00:02:39";"275013";"147";"275013";"0";"101";"6";"46";"0";"0";"131";"459"
"77618";"Document Retention Purge Process- TST - LC1 1 day retention - 26.02.2024";"67108870";"27.02.2024 00:02:39";"275015";"147";"275015";"0";"101";"6";"46";"0";"0";"134";"459"
"77619";"Document Retention Purge Process- TST - LC1 1 day retention - 26.02.2024";"67108870";"27.02.2024 00:02:40";"275017";"147";"275017";"0";"101";"6";"46";"0";"0";"134";"459"
"77620";"Document Retention Purge Process- TST - LC1 1 day retention - 26.02.2024";"67108870";"27.02.2024 00:02:40";"275019";"147";"275019";"0";"101";"6";"46";"0";"0";"134";"459"
"77621";"Document Retention Purge Process- TST - LC0 0 retention - 26.02.2024";"67108870";"27.02.2024 00:02:41";"275024";"147";"275024";"0";"101";"6";"46";"0";"0";"131";"459"
"77622";"Document Retention Purge Process- TST - LC1 1 day retention - 26.02.2024";"67108870";"27.02.2024 00:02:41";"275025";"147";"275025";"0";"101";"6";"46";"0";"0";"134";"459"
"77623";"Document Retention Purge Process- TST - LC0 0 retention - 26.02.2024";"67108870";"27.02.2024 00:02:41";"275026";"147";"275026";"0";"101";"6";"46";"0";"0";"131";"459"
"77624";"Document Retention Purge Process- TST - LC0 0 retention - 26.02.2024";"67108870";"27.02.2024 00:02:42";"275027";"147";"275027";"0";"101";"6";"46";"0";"0";"131";"459"
"77625";"Document Retention Purge Process- TST - LC0 0 retention - 26.02.2024";"67108870";"27.02.2024 00:02:42";"275029";"147";"275029";"0";"101";"6";"46";"0";"0";"131";"459"
"77626";"Document Retention Purge Process- TST - LC0 0 retention - 26.02.2024";"67108870";"27.02.2024 00:02:43";"275033";"147";"275033";"0";"101";"6";"46";"0";"0";"131";"459"
"77627";"Document Retention Purge Process- TST - LC0 0 retention - 26.02.2024";"67108870";"27.02.2024 00:02:43";"275036";"147";"275036";"0";"101";"6";"46";"0";"0";"131";"459"
"77628";"Document Retention Purge Process- TST - LC0 0 retention - 26.02.2024";"67108870";"27.02.2024 00:02:44";"275039";"147";"275039";"0";"101";"6";"46";"0";"0";"131";"459"
"77629";"Document Retention Purge Process- TST - LC0 0 retention - 26.02.2024";"67108870";"27.02.2024 00:02:44";"275041";"147";"275041";"0";"101";"6";"46";"0";"0";"131";"459"
"77630";"Document Retention Purge Process- TST - LC0 0 retention - 26.02.2024";"67108870";"27.02.2024 00:02:44";"275044";"147";"275044";"0";"101";"6";"46";"0";"0";"131";"459"
"77631";"Document Retention Purge Process- TST - LC0 0 retention - 26.02.2024";"67108870";"27.02.2024 00:02:45";"275045";"147";"275045";"0";"101";"6";"46";"0";"0";"131";"459"
"77632";"Document Retention Purge Process- TST - LC0 0 retention - 26.02.2024";"67108870";"27.02.2024 00:02:45";"275048";"147";"275048";"0";"101";"6";"46";"0";"0";"131";"459"
"77633";"Document Retention Purge Process- TST - LC1 1 day retention - 26.02.2024";"67108870";"27.02.2024 00:02:46";"275050";"147";"275050";"0";"101";"6";"46";"0";"0";"134";"459"
"77634";"Document Retention Purge Process- TST - LC0 0 retention - 26.02.2024";"67108870";"27.02.2024 00:02:46";"275054";"147";"275054";"0";"101";"6";"46";"0";"0";"131";"459"
"77635";"Document Retention Purge Process- TST - LC0 0 retention - 26.02.2024";"67108870";"27.02.2024 00:02:46";"275063";"147";"275063";"0";"101";"6";"46";"0";"0";"131";"459"
"77636";"Document Retention Purge Process- TST - LC0 0 retention - 26.02.2024";"67108870";"27.02.2024 00:02:47";"275066";"147";"275066";"0";"101";"6";"46";"0";"0";"131";"459"
"77637";"Document Retention Purge Process- TST - LC1 1 day retention - 26.02.2024";"67108870";"27.02.2024 00:02:47";"275073";"147";"275073";"0";"101";"6";"46";"0";"0";"134";"459"
"77638";"Document Retention Purge Process- TST - LC1 1 day retention - 26.02.2024";"67108870";"27.02.2024 00:02:48";"275076";"147";"275076";"0";"101";"6";"46";"0";"0";"134";"459"
"77639";"Document Retention Purge Process- TST - LC1 1 day retention - 26.02.2024";"67108870";"27.02.2024 00:02:48";"275077";"147";"275077";"0";"101";"6";"46";"0";"0";"134";"459"
"77640";"Document Retention Purge Process- TST - LC0 0 retention - 26.02.2024";"67108870";"27.02.2024 00:02:48";"275078";"147";"275078";"0";"101";"6";"46";"0";"0";"131";"459"
"77641";"Document Retention Purge Process- TST - LC0 0 retention - 26.02.2024";"67108870";"27.02.2024 00:02:49";"275079";"147";"275079";"0";"101";"6";"46";"0";"0";"131";"459"
"77642";"Document Retention Purge Process- TST - LC1 1 day retention - 26.02.2024";"67108870";"27.02.2024 00:02:49";"275084";"147";"275084";"0";"101";"6";"46";"0";"0";"134";"459"
"77643";"Document Retention Purge Process- TST - LC1 1 day retention - 26.02.2024";"67108870";"27.02.2024 00:02:50";"275085";"147";"275085";"0";"101";"6";"46";"0";"0";"134";"459"
"77644";"Document Retention Purge Process- TST - LC1 1 day retention - 26.02.2024";"67108870";"27.02.2024 00:02:50";"275088";"147";"275088";"0";"101";"6";"46";"0";"0";"134";"459"
"77645";"Document Retention Purge Process- TST - LC1 1 day retention - 26.02.2024";"67108870";"27.02.2024 00:02:51";"275091";"147";"275091";"0";"101";"6";"46";"0";"0";"134";"459"
"77646";"Document Retention Purge Process- TST - LC1 1 day retention - 26.02.2024";"67108870";"27.02.2024 00:02:51";"275092";"147";"275092";"0";"101";"6";"46";"0";"0";"134";"459"
"77647";"Document Retention Purge Process- TST - LC1 1 day retention - 26.02.2024";"67108870";"27.02.2024 00:02:51";"275093";"147";"275093";"0";"101";"6";"46";"0";"0";"134";"459"
"77648";"Document Retention Purge Process- TST - LC1 1 day retention - 26.02.2024";"67108870";"27.02.2024 00:02:52";"275095";"147";"275095";"0";"101";"6";"46";"0";"0";"134";"459"
"77649";"Document Retention Purge Process- TST - LC1 1 day retention - 26.02.2024";"67108870";"27.02.2024 00:02:52";"275096";"147";"275096";"0";"101";"6";"46";"0";"0";"134";"459"
"77650";"Document Retention Purge Process- TST - LC1 1 day retention - 26.02.2024";"67108870";"27.02.2024 00:02:53";"275098";"147";"275098";"0";"101";"6";"46";"0";"0";"134";"459"
"77651";"Document Retention Purge Process- TST - LC1 1 day retention - 26.02.2024";"67108870";"27.02.2024 00:02:53";"275101";"147";"275101";"0";"101";"6";"46";"0";"0";"134";"459"
