"tfullmessage";"transactionnum";"tmessage";"action";"logdate";"num";"usernum";"username";"itemnum";"docrevnum";"registernum";"actionnum";"subactionnum";"severityflag";"tracelvl";"extrainfo1";"extrainfo2"
"Database records created for Itemnum 276786 - Database records created";"81747";"Database records created for Itemnum 276786";"0";"12.03.2024 08:01:27";"276786";"147";"DIP_SERVICE";"276786";"0";"101";"6";"53";"0";"0";"0";"0"
"Document (276786) moved to Diskgroup (102) - File moved to Diskgroup";"81748";"Document (276786) moved to Diskgroup (102)";"0";"12.03.2024 08:01:27";"276786";"147";"DIP_SERVICE";"276786";"102";"101";"6";"54";"0";"0";"0";"0"
"Database records created for Itemnum 276787 - Database records created";"81749";"Database records created for Itemnum 276787";"0";"12.03.2024 08:01:27";"276787";"147";"DIP_SERVICE";"276787";"0";"101";"6";"53";"0";"0";"0";"0"
"Document (276787) moved to Diskgroup (102) - File moved to Diskgroup";"81750";"Document (276787) moved to Diskgroup (102)";"0";"12.03.2024 08:01:27";"276787";"147";"DIP_SERVICE";"276787";"102";"101";"6";"54";"0";"0";"0";"0"
"Database records created for Itemnum 276788 - Database records created";"81751";"Database records created for Itemnum 276788";"0";"12.03.2024 08:01:27";"276788";"147";"DIP_SERVICE";"276788";"0";"101";"6";"53";"0";"0";"0";"0"
"Document (276788) moved to Diskgroup (102) - File moved to Diskgroup";"81752";"Document (276788) moved to Diskgroup (102)";"0";"12.03.2024 08:01:27";"276788";"147";"DIP_SERVICE";"276788";"102";"101";"6";"54";"0";"0";"0";"0"
"Database records created for Itemnum 276789 - Database records created";"81753";"Database records created for Itemnum 276789";"0";"12.03.2024 08:01:28";"276789";"147";"DIP_SERVICE";"276789";"0";"101";"6";"53";"0";"0";"0";"0"
"Document (276789) moved to Diskgroup (102) - File moved to Diskgroup";"81754";"Document (276789) moved to Diskgroup (102)";"0";"12.03.2024 08:01:28";"276789";"147";"DIP_SERVICE";"276789";"102";"101";"6";"54";"0";"0";"0";"0"
"Database records created for Itemnum 276790 - Database records created";"81755";"Database records created for Itemnum 276790";"0";"12.03.2024 08:01:28";"276790";"147";"DIP_SERVICE";"276790";"0";"101";"6";"53";"0";"0";"0";"0"
"Document (276790) moved to Diskgroup (102) - File moved to Diskgroup";"81756";"Document (276790) moved to Diskgroup (102)";"0";"12.03.2024 08:01:28";"276790";"147";"DIP_SERVICE";"276790";"102";"101";"6";"54";"0";"0";"0";"0"
"Database records created for Itemnum 276791 - Database records created";"81757";"Database records created for Itemnum 276791";"0";"12.03.2024 08:01:28";"276791";"147";"DIP_SERVICE";"276791";"0";"101";"6";"53";"0";"0";"0";"0"
"Document (276791) moved to Diskgroup (102) - File moved to Diskgroup";"81758";"Document (276791) moved to Diskgroup (102)";"0";"12.03.2024 08:01:28";"276791";"147";"DIP_SERVICE";"276791";"102";"101";"6";"54";"0";"0";"0";"0"
"Database records created for Itemnum 276792 - Database records created";"81759";"Database records created for Itemnum 276792";"0";"12.03.2024 08:01:29";"276792";"147";"DIP_SERVICE";"276792";"0";"101";"6";"53";"0";"0";"0";"0"
"Document (276792) moved to Diskgroup (102) - File moved to Diskgroup";"81760";"Document (276792) moved to Diskgroup (102)";"0";"12.03.2024 08:01:29";"276792";"147";"DIP_SERVICE";"276792";"102";"101";"6";"54";"0";"0";"0";"0"
"Database records created for Itemnum 276793 - Database records created";"81761";"Database records created for Itemnum 276793";"0";"12.03.2024 08:01:29";"276793";"147";"DIP_SERVICE";"276793";"0";"101";"6";"53";"0";"0";"0";"0"
"Document (276793) moved to Diskgroup (102) - File moved to Diskgroup";"81762";"Document (276793) moved to Diskgroup (102)";"0";"12.03.2024 08:01:29";"276793";"147";"DIP_SERVICE";"276793";"102";"101";"6";"54";"0";"0";"0";"0"
"Database records created for Itemnum 276794 - Database records created";"81763";"Database records created for Itemnum 276794";"0";"12.03.2024 08:01:29";"276794";"147";"DIP_SERVICE";"276794";"0";"101";"6";"53";"0";"0";"0";"0"
"Document (276794) moved to Diskgroup (102) - File moved to Diskgroup";"81764";"Document (276794) moved to Diskgroup (102)";"0";"12.03.2024 08:01:29";"276794";"147";"DIP_SERVICE";"276794";"102";"101";"6";"54";"0";"0";"0";"0"
"Database records created for Itemnum 276795 - Database records created";"81765";"Database records created for Itemnum 276795";"0";"12.03.2024 08:01:30";"276795";"147";"DIP_SERVICE";"276795";"0";"101";"6";"53";"0";"0";"0";"0"
"Document (276795) moved to Diskgroup (102) - File moved to Diskgroup";"81766";"Document (276795) moved to Diskgroup (102)";"0";"12.03.2024 08:01:30";"276795";"147";"DIP_SERVICE";"276795";"102";"101";"6";"54";"0";"0";"0";"0"
"Database records created for Itemnum 276796 - Database records created";"81767";"Database records created for Itemnum 276796";"0";"12.03.2024 08:01:30";"276796";"147";"DIP_SERVICE";"276796";"0";"101";"6";"53";"0";"0";"0";"0"
"Document (276796) moved to Diskgroup (102) - File moved to Diskgroup";"81768";"Document (276796) moved to Diskgroup (102)";"0";"12.03.2024 08:01:30";"276796";"147";"DIP_SERVICE";"276796";"102";"101";"6";"54";"0";"0";"0";"0"
"Database records created for Itemnum 276797 - Database records created";"81769";"Database records created for Itemnum 276797";"0";"12.03.2024 08:01:30";"276797";"147";"DIP_SERVICE";"276797";"0";"101";"6";"53";"0";"0";"0";"0"
"Document (276797) moved to Diskgroup (102) - File moved to Diskgroup";"81770";"Document (276797) moved to Diskgroup (102)";"0";"12.03.2024 08:01:30";"276797";"147";"DIP_SERVICE";"276797";"102";"101";"6";"54";"0";"0";"0";"0"
"Database records created for Itemnum 276798 - Database records created";"81771";"Database records created for Itemnum 276798";"0";"12.03.2024 08:01:30";"276798";"147";"DIP_SERVICE";"276798";"0";"101";"6";"53";"0";"0";"0";"0"
"Document (276798) moved to Diskgroup (102) - File moved to Diskgroup";"81772";"Document (276798) moved to Diskgroup (102)";"0";"12.03.2024 08:01:30";"276798";"147";"DIP_SERVICE";"276798";"102";"101";"6";"54";"0";"0";"0";"0"
"Database records created for Itemnum 276695 - Database records created";"81570";"Database records created for Itemnum 276695";"0";"12.03.2024 00:30:42";"276695";"147";"DIP_SERVICE";"276695";"0";"101";"6";"53";"0";"0";"0";"0"
"Document (276695) moved to Diskgroup (0) - File moved to Diskgroup";"81571";"Document (276695) moved to Diskgroup (0)";"0";"12.03.2024 00:30:42";"276695";"147";"DIP_SERVICE";"276695";"0";"101";"6";"54";"0";"0";"0";"0"
"Database records created for Itemnum 276699 - Database records created";"81573";"Database records created for Itemnum 276699";"0";"12.03.2024 08:01:03";"276699";"147";"DIP_SERVICE";"276699";"0";"101";"6";"53";"0";"0";"0";"0"
"Document (276699) moved to Diskgroup (102) - File moved to Diskgroup";"81574";"Document (276699) moved to Diskgroup (102)";"0";"12.03.2024 08:01:03";"276699";"147";"DIP_SERVICE";"276699";"102";"101";"6";"54";"0";"0";"0";"0"
"Database records created for Itemnum 276700 - Database records created";"81575";"Database records created for Itemnum 276700";"0";"12.03.2024 08:01:03";"276700";"147";"DIP_SERVICE";"276700";"0";"101";"6";"53";"0";"0";"0";"0"
"Document (276700) moved to Diskgroup (102) - File moved to Diskgroup";"81576";"Document (276700) moved to Diskgroup (102)";"0";"12.03.2024 08:01:03";"276700";"147";"DIP_SERVICE";"276700";"102";"101";"6";"54";"0";"0";"0";"0"
"Database records created for Itemnum 276701 - Database records created";"81577";"Database records created for Itemnum 276701";"0";"12.03.2024 08:01:04";"276701";"147";"DIP_SERVICE";"276701";"0";"101";"6";"53";"0";"0";"0";"0"
"Document (276701) moved to Diskgroup (102) - File moved to Diskgroup";"81578";"Document (276701) moved to Diskgroup (102)";"0";"12.03.2024 08:01:04";"276701";"147";"DIP_SERVICE";"276701";"102";"101";"6";"54";"0";"0";"0";"0"
"Database records created for Itemnum 276702 - Database records created";"81579";"Database records created for Itemnum 276702";"0";"12.03.2024 08:01:04";"276702";"147";"DIP_SERVICE";"276702";"0";"101";"6";"53";"0";"0";"0";"0"
"Document (276702) moved to Diskgroup (102) - File moved to Diskgroup";"81580";"Document (276702) moved to Diskgroup (102)";"0";"12.03.2024 08:01:04";"276702";"147";"DIP_SERVICE";"276702";"102";"101";"6";"54";"0";"0";"0";"0"
"Database records created for Itemnum 276703 - Database records created";"81581";"Database records created for Itemnum 276703";"0";"12.03.2024 08:01:04";"276703";"147";"DIP_SERVICE";"276703";"0";"101";"6";"53";"0";"0";"0";"0"
"Document (276703) moved to Diskgroup (102) - File moved to Diskgroup";"81582";"Document (276703) moved to Diskgroup (102)";"0";"12.03.2024 08:01:04";"276703";"147";"DIP_SERVICE";"276703";"102";"101";"6";"54";"0";"0";"0";"0"
"Database records created for Itemnum 276704 - Database records created";"81583";"Database records created for Itemnum 276704";"0";"12.03.2024 08:01:05";"276704";"147";"DIP_SERVICE";"276704";"0";"101";"6";"53";"0";"0";"0";"0"
"Document (276704) moved to Diskgroup (102) - File moved to Diskgroup";"81584";"Document (276704) moved to Diskgroup (102)";"0";"12.03.2024 08:01:05";"276704";"147";"DIP_SERVICE";"276704";"102";"101";"6";"54";"0";"0";"0";"0"
"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024 - Purged by Doc Retention";"81263";"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024";"67108870";"12.03.2024 00:01:11";"270472";"147";"DIP_SERVICE";"270472";"0";"101";"6";"46";"0";"0";"135";"523"
"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024 - Purged by Doc Retention";"81264";"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024";"67108870";"12.03.2024 00:01:12";"270473";"147";"DIP_SERVICE";"270473";"0";"101";"6";"46";"0";"0";"135";"523"
"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024 - Purged by Doc Retention";"81265";"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024";"67108870";"12.03.2024 00:01:12";"270480";"147";"DIP_SERVICE";"270480";"0";"101";"6";"46";"0";"0";"135";"523"
"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024 - Purged by Doc Retention";"81266";"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024";"67108870";"12.03.2024 00:01:13";"270481";"147";"DIP_SERVICE";"270481";"0";"101";"6";"46";"0";"0";"135";"523"
"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024 - Purged by Doc Retention";"81267";"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024";"67108870";"12.03.2024 00:01:13";"270487";"147";"DIP_SERVICE";"270487";"0";"101";"6";"46";"0";"0";"135";"523"
"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024 - Purged by Doc Retention";"81268";"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024";"67108870";"12.03.2024 00:01:14";"270494";"147";"DIP_SERVICE";"270494";"0";"101";"6";"46";"0";"0";"135";"523"
"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024 - Purged by Doc Retention";"81269";"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024";"67108870";"12.03.2024 00:01:15";"270503";"147";"DIP_SERVICE";"270503";"0";"101";"6";"46";"0";"0";"135";"523"
"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024 - Purged by Doc Retention";"81270";"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024";"67108870";"12.03.2024 00:01:15";"270507";"147";"DIP_SERVICE";"270507";"0";"101";"6";"46";"0";"0";"135";"523"
"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024 - Purged by Doc Retention";"81271";"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024";"67108870";"12.03.2024 00:01:16";"270510";"147";"DIP_SERVICE";"270510";"0";"101";"6";"46";"0";"0";"135";"523"
"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024 - Purged by Doc Retention";"81272";"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024";"67108870";"12.03.2024 00:01:16";"270511";"147";"DIP_SERVICE";"270511";"0";"101";"6";"46";"0";"0";"135";"523"
"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024 - Purged by Doc Retention";"81273";"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024";"67108870";"12.03.2024 00:01:17";"270516";"147";"DIP_SERVICE";"270516";"0";"101";"6";"46";"0";"0";"135";"523"
"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024 - Purged by Doc Retention";"81274";"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024";"67108870";"12.03.2024 00:01:18";"270523";"147";"DIP_SERVICE";"270523";"0";"101";"6";"46";"0";"0";"135";"523"
"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024 - Purged by Doc Retention";"81275";"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024";"67108870";"12.03.2024 00:01:18";"270529";"147";"DIP_SERVICE";"270529";"0";"101";"6";"46";"0";"0";"135";"523"
"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024 - Purged by Doc Retention";"81276";"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024";"67108870";"12.03.2024 00:01:19";"270534";"147";"DIP_SERVICE";"270534";"0";"101";"6";"46";"0";"0";"135";"523"
"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024 - Purged by Doc Retention";"81277";"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024";"67108870";"12.03.2024 00:01:20";"270536";"147";"DIP_SERVICE";"270536";"0";"101";"6";"46";"0";"0";"135";"523"
"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024 - Purged by Doc Retention";"81278";"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024";"67108870";"12.03.2024 00:01:21";"270537";"147";"DIP_SERVICE";"270537";"0";"101";"6";"46";"0";"0";"135";"523"
"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024 - Purged by Doc Retention";"81279";"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024";"67108870";"12.03.2024 00:01:22";"270539";"147";"DIP_SERVICE";"270539";"0";"101";"6";"46";"0";"0";"135";"523"
"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024 - Purged by Doc Retention";"81280";"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024";"67108870";"12.03.2024 00:01:22";"270547";"147";"DIP_SERVICE";"270547";"0";"101";"6";"46";"0";"0";"135";"523"
"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024 - Purged by Doc Retention";"81281";"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024";"67108870";"12.03.2024 00:01:23";"270549";"147";"DIP_SERVICE";"270549";"0";"101";"6";"46";"0";"0";"135";"523"
"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024 - Purged by Doc Retention";"81282";"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024";"67108870";"12.03.2024 00:01:24";"270554";"147";"DIP_SERVICE";"270554";"0";"101";"6";"46";"0";"0";"135";"523"
"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024 - Purged by Doc Retention";"81283";"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024";"67108870";"12.03.2024 00:01:24";"270557";"147";"DIP_SERVICE";"270557";"0";"101";"6";"46";"0";"0";"135";"523"
"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024 - Purged by Doc Retention";"81284";"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024";"67108870";"12.03.2024 00:01:25";"270560";"147";"DIP_SERVICE";"270560";"0";"101";"6";"46";"0";"0";"135";"523"
"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024 - Purged by Doc Retention";"81285";"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024";"67108870";"12.03.2024 00:01:25";"270563";"147";"DIP_SERVICE";"270563";"0";"101";"6";"46";"0";"0";"135";"523"
"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024 - Purged by Doc Retention";"81286";"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024";"67108870";"12.03.2024 00:01:26";"270574";"147";"DIP_SERVICE";"270574";"0";"101";"6";"46";"0";"0";"135";"523"
"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024 - Purged by Doc Retention";"81287";"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024";"67108870";"12.03.2024 00:01:27";"270581";"147";"DIP_SERVICE";"270581";"0";"101";"6";"46";"0";"0";"135";"523"
"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024 - Purged by Doc Retention";"81288";"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024";"67108870";"12.03.2024 00:01:27";"270589";"147";"DIP_SERVICE";"270589";"0";"101";"6";"46";"0";"0";"135";"523"
"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024 - Purged by Doc Retention";"81289";"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024";"67108870";"12.03.2024 00:01:28";"270590";"147";"DIP_SERVICE";"270590";"0";"101";"6";"46";"0";"0";"135";"523"
"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024 - Purged by Doc Retention";"81290";"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024";"67108870";"12.03.2024 00:01:29";"270598";"147";"DIP_SERVICE";"270598";"0";"101";"6";"46";"0";"0";"135";"523"
"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024 - Purged by Doc Retention";"81291";"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024";"67108870";"12.03.2024 00:01:29";"270601";"147";"DIP_SERVICE";"270601";"0";"101";"6";"46";"0";"0";"135";"523"
"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024 - Purged by Doc Retention";"81292";"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024";"67108870";"12.03.2024 00:01:30";"270605";"147";"DIP_SERVICE";"270605";"0";"101";"6";"46";"0";"0";"135";"523"
"Document Retention Purge Process- TST - LC2 1 week retention - 05.03.2024 - Purged by Doc Retention";"81293";"Document Retention Purge Process- TST - LC2 1 week retention - 05.03.2024";"67108870";"12.03.2024 00:01:31";"275944";"147";"DIP_SERVICE";"275944";"0";"101";"6";"46";"0";"0";"133";"523"
"Document Retention Purge Process- TST - LC2 1 week retention - 05.03.2024 - Purged by Doc Retention";"81294";"Document Retention Purge Process- TST - LC2 1 week retention - 05.03.2024";"67108870";"12.03.2024 00:01:31";"275947";"147";"DIP_SERVICE";"275947";"0";"101";"6";"46";"0";"0";"133";"523"
"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024 - Purged by Doc Retention";"81295";"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024";"67108870";"12.03.2024 00:01:32";"270467";"147";"DIP_SERVICE";"270467";"0";"101";"6";"46";"0";"0";"135";"523"
"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024 - Purged by Doc Retention";"81296";"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024";"67108870";"12.03.2024 00:01:32";"270460";"147";"DIP_SERVICE";"270460";"0";"101";"6";"46";"0";"0";"135";"523"
"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024 - Purged by Doc Retention";"81297";"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024";"67108870";"12.03.2024 00:01:33";"270454";"147";"DIP_SERVICE";"270454";"0";"101";"6";"46";"0";"0";"135";"523"
"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024 - Purged by Doc Retention";"81298";"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024";"67108870";"12.03.2024 00:01:34";"270448";"147";"DIP_SERVICE";"270448";"0";"101";"6";"46";"0";"0";"135";"523"
"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024 - Purged by Doc Retention";"81299";"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024";"67108870";"12.03.2024 00:01:34";"270447";"147";"DIP_SERVICE";"270447";"0";"101";"6";"46";"0";"0";"135";"523"
"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024 - Purged by Doc Retention";"81300";"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024";"67108870";"12.03.2024 00:01:35";"270444";"147";"DIP_SERVICE";"270444";"0";"101";"6";"46";"0";"0";"135";"523"
"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024 - Purged by Doc Retention";"81301";"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024";"67108870";"12.03.2024 00:01:36";"270440";"147";"DIP_SERVICE";"270440";"0";"101";"6";"46";"0";"0";"135";"523"
"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024 - Purged by Doc Retention";"81302";"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024";"67108870";"12.03.2024 00:01:36";"270439";"147";"DIP_SERVICE";"270439";"0";"101";"6";"46";"0";"0";"135";"523"
"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024 - Purged by Doc Retention";"81303";"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024";"67108870";"12.03.2024 00:01:37";"270431";"147";"DIP_SERVICE";"270431";"0";"101";"6";"46";"0";"0";"135";"523"
"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024 - Purged by Doc Retention";"81304";"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024";"67108870";"12.03.2024 00:01:38";"270427";"147";"DIP_SERVICE";"270427";"0";"101";"6";"46";"0";"0";"135";"523"
"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024 - Purged by Doc Retention";"81305";"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024";"67108870";"12.03.2024 00:01:38";"270422";"147";"DIP_SERVICE";"270422";"0";"101";"6";"46";"0";"0";"135";"523"
"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024 - Purged by Doc Retention";"81306";"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024";"67108870";"12.03.2024 00:01:39";"270421";"147";"DIP_SERVICE";"270421";"0";"101";"6";"46";"0";"0";"135";"523"
"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024 - Purged by Doc Retention";"81307";"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024";"67108870";"12.03.2024 00:01:39";"270420";"147";"DIP_SERVICE";"270420";"0";"101";"6";"46";"0";"0";"135";"523"
"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024 - Purged by Doc Retention";"81308";"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024";"67108870";"12.03.2024 00:01:40";"270419";"147";"DIP_SERVICE";"270419";"0";"101";"6";"46";"0";"0";"135";"523"
"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024 - Purged by Doc Retention";"81309";"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024";"67108870";"12.03.2024 00:01:41";"270418";"147";"DIP_SERVICE";"270418";"0";"101";"6";"46";"0";"0";"135";"523"
"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024 - Purged by Doc Retention";"81310";"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024";"67108870";"12.03.2024 00:01:42";"270402";"147";"DIP_SERVICE";"270402";"0";"101";"6";"46";"0";"0";"135";"523"
"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024 - Purged by Doc Retention";"81311";"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024";"67108870";"12.03.2024 00:01:42";"270392";"147";"DIP_SERVICE";"270392";"0";"101";"6";"46";"0";"0";"135";"523"
"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024 - Purged by Doc Retention";"81312";"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024";"67108870";"12.03.2024 00:01:43";"270387";"147";"DIP_SERVICE";"270387";"0";"101";"6";"46";"0";"0";"135";"523"
"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024 - Purged by Doc Retention";"81313";"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024";"67108870";"12.03.2024 00:01:44";"270385";"147";"DIP_SERVICE";"270385";"0";"101";"6";"46";"0";"0";"135";"523"
"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024 - Purged by Doc Retention";"81314";"Document Retention Purge Process- TST - LC3 1 month retention - 12.02.2024";"67108870";"12.03.2024 00:01:44";"270384";"147";"DIP_SERVICE";"270384";"0";"101";"6";"46";"0";"0";"135";"523"
