"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","ModeWithoutHardLink","VersionInfo","BaseName","Target","LinkType","Length","DirectoryName","Directory","IsReadOnly","FullName","Extension","Name","Exists","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","LinkTarget","Attributes"
"Microsoft.PowerShell.Core\FileSystem::D:\dev\30_Perl\Bac a sable - PERL\GlassDemoPacklage\logtest.pl.log","Microsoft.PowerShell.Core\FileSystem::D:\dev\30_Perl\Bac a sable - PERL\GlassDemoPacklage","logtest.pl.log","D","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             D:\dev\30_Perl\Bac a sable - PERL\GlassDemoPacklage\logtest.pl.log
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","logtest.pl",,,"215","D:\dev\30_Perl\Bac a sable - PERL\GlassDemoPacklage","D:\dev\30_Perl\Bac a sable - PERL\GlassDemoPacklage","False","D:\dev\30_Perl\Bac a sable - PERL\GlassDemoPacklage\logtest.pl.log",".log","logtest.pl.log","True","02.08.2019 23:12:57","02.08.2019 21:12:57","02.12.2021 23:54:08","02.12.2021 22:54:08","19.02.2013 00:15:37","18.02.2013 23:15:37",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\dev\40_PowerShell\PowerShell\data\input\logs\20220129_2239_main.log","Microsoft.PowerShell.Core\FileSystem::D:\dev\40_PowerShell\PowerShell\data\input\logs","20220129_2239_main.log","D","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             D:\dev\40_PowerShell\PowerShell\data\input\logs\20220129_2239_main.log
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","20220129_2239_main",,,"238","D:\dev\40_PowerShell\PowerShell\data\input\logs","D:\dev\40_PowerShell\PowerShell\data\input\logs","False","D:\dev\40_PowerShell\PowerShell\data\input\logs\20220129_2239_main.log",".log","20220129_2239_main.log","True","29.01.2022 22:39:11","29.01.2022 21:39:11","20.04.2022 23:42:56","20.04.2022 21:42:56","09.03.2022 23:16:33","09.03.2022 22:16:33",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\Program Files (x86)\Steam\steamapps\common\Kerbal Space Program\debug.log","Microsoft.PowerShell.Core\FileSystem::D:\Program Files (x86)\Steam\steamapps\common\Kerbal Space Program","debug.log","D","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             D:\Program Files (x86)\Steam\steamapps\common\Kerbal Space Program\debug.log
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","debug",,,"251","D:\Program Files (x86)\Steam\steamapps\common\Kerbal Space Program","D:\Program Files (x86)\Steam\steamapps\common\Kerbal Space Program","False","D:\Program Files (x86)\Steam\steamapps\common\Kerbal Space Program\debug.log",".log","debug.log","True","14.10.2020 22:55:59","14.10.2020 20:55:59","05.06.2022 21:51:51","05.06.2022 19:51:51","25.12.2020 20:01:59","25.12.2020 19:01:59",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\dev\.metadata\.plugins\com.genuitec.eclipse.code.core\.codeMixData\29\logs\20191219T234151\telemetry.log","Microsoft.PowerShell.Core\FileSystem::D:\dev\.metadata\.plugins\com.genuitec.eclipse.code.core\.codeMixData\29\logs\20191219T234151","telemetry.log","D","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             D:\dev\.metadata\.plugins\com.genuitec.eclipse.code.core\.codeMixData\29\logs\20191219T234151\telemetry.log
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","telemetry",,,"251","D:\dev\.metadata\.plugins\com.genuitec.eclipse.code.core\.codeMixData\29\logs\20191219T234151","D:\dev\.metadata\.plugins\com.genuitec.eclipse.code.core\.codeMixData\29\logs\20191219T234151","False","D:\dev\.metadata\.plugins\com.genuitec.eclipse.code.core\.codeMixData\29\logs\20191219T234151\telemetry.log",".log","telemetry.log","True","19.12.2019 23:41:55","19.12.2019 22:41:55","03.12.2021 00:32:13","02.12.2021 23:32:13","19.12.2019 23:41:57","19.12.2019 22:41:57",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\Program Files (x86)\Steam\debug.log","Microsoft.PowerShell.Core\FileSystem::D:\Program Files (x86)\Steam","debug.log","D","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             D:\Program Files (x86)\Steam\debug.log
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","debug",,,"268","D:\Program Files (x86)\Steam","D:\Program Files (x86)\Steam","False","D:\Program Files (x86)\Steam\debug.log",".log","debug.log","True","28.03.2020 17:31:43","28.03.2020 16:31:43","19.09.2020 18:43:40","19.09.2020 16:43:40","19.09.2020 18:43:40","19.09.2020 16:43:40",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\dev\40_PowerShell\PowerShell\data\input\logs\20220129_2249_main.log","Microsoft.PowerShell.Core\FileSystem::D:\dev\40_PowerShell\PowerShell\data\input\logs","20220129_2249_main.log","D","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             D:\dev\40_PowerShell\PowerShell\data\input\logs\20220129_2249_main.log
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","20220129_2249_main",,,"379","D:\dev\40_PowerShell\PowerShell\data\input\logs","D:\dev\40_PowerShell\PowerShell\data\input\logs","False","D:\dev\40_PowerShell\PowerShell\data\input\logs\20220129_2249_main.log",".log","20220129_2249_main.log","True","29.01.2022 22:49:47","29.01.2022 21:49:47","20.04.2022 23:42:56","20.04.2022 21:42:56","09.03.2022 23:16:33","09.03.2022 22:16:33",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\dev\40_PowerShell\PowerShell\data\input\logs\20220129_2250_main.log","Microsoft.PowerShell.Core\FileSystem::D:\dev\40_PowerShell\PowerShell\data\input\logs","20220129_2250_main.log","D","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             D:\dev\40_PowerShell\PowerShell\data\input\logs\20220129_2250_main.log
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","20220129_2250_main",,,"384","D:\dev\40_PowerShell\PowerShell\data\input\logs","D:\dev\40_PowerShell\PowerShell\data\input\logs","False","D:\dev\40_PowerShell\PowerShell\data\input\logs\20220129_2250_main.log",".log","20220129_2250_main.log","True","29.01.2022 22:50:09","29.01.2022 21:50:09","20.04.2022 23:42:56","20.04.2022 21:42:56","09.03.2022 23:16:33","09.03.2022 22:16:33",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\dev\.metadata\.plugins\com.genuitec.eclipse.code.core\.codeMixData\29\logs\20191219T234151\sharedprocess.log","Microsoft.PowerShell.Core\FileSystem::D:\dev\.metadata\.plugins\com.genuitec.eclipse.code.core\.codeMixData\29\logs\20191219T234151","sharedprocess.log","D","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             D:\dev\.metadata\.plugins\com.genuitec.eclipse.code.core\.codeMixData\29\logs\20191219T234151\sharedprocess.log
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","sharedprocess",,,"684","D:\dev\.metadata\.plugins\com.genuitec.eclipse.code.core\.codeMixData\29\logs\20191219T234151","D:\dev\.metadata\.plugins\com.genuitec.eclipse.code.core\.codeMixData\29\logs\20191219T234151","False","D:\dev\.metadata\.plugins\com.genuitec.eclipse.code.core\.codeMixData\29\logs\20191219T234151\sharedprocess.log",".log","sharedprocess.log","True","19.12.2019 23:41:55","19.12.2019 22:41:55","03.12.2021 00:32:13","02.12.2021 23:32:13","19.12.2019 23:41:56","19.12.2019 22:41:56",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\dev\40_PowerShell\PowerShell\data\input\logs\20220129_2247_main.log","Microsoft.PowerShell.Core\FileSystem::D:\dev\40_PowerShell\PowerShell\data\input\logs","20220129_2247_main.log","D","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             D:\dev\40_PowerShell\PowerShell\data\input\logs\20220129_2247_main.log
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","20220129_2247_main",,,"699","D:\dev\40_PowerShell\PowerShell\data\input\logs","D:\dev\40_PowerShell\PowerShell\data\input\logs","False","D:\dev\40_PowerShell\PowerShell\data\input\logs\20220129_2247_main.log",".log","20220129_2247_main.log","True","29.01.2022 22:47:14","29.01.2022 21:47:14","20.04.2022 23:42:56","20.04.2022 21:42:56","09.03.2022 23:16:33","09.03.2022 22:16:33",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\dev\40_PowerShell\tcs\data\input\Logs\20220223_1038_copy_CCM_PRD.log","Microsoft.PowerShell.Core\FileSystem::D:\dev\40_PowerShell\tcs\data\input\Logs","20220223_1038_copy_CCM_PRD.log","D","Microsoft.PowerShell.Core\FileSystem","False","-----","-----","File:             D:\dev\40_PowerShell\tcs\data\input\Logs\20220223_1038_copy_CCM_PRD.log
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","20220223_1038_copy_CCM_PRD",,,"885","D:\dev\40_PowerShell\tcs\data\input\Logs","D:\dev\40_PowerShell\tcs\data\input\Logs","False","D:\dev\40_PowerShell\tcs\data\input\Logs\20220223_1038_copy_CCM_PRD.log",".log","20220223_1038_copy_CCM_PRD.log","True","23.02.2022 08:38:18","23.02.2022 07:38:18","20.04.2022 23:42:56","20.04.2022 21:42:56","23.02.2022 08:38:18","23.02.2022 07:38:18",,"Normal"
"Microsoft.PowerShell.Core\FileSystem::D:\dev\40_PowerShell\tcs\data\input\Logs\20220329_042610_preprocessorCCM.log","Microsoft.PowerShell.Core\FileSystem::D:\dev\40_PowerShell\tcs\data\input\Logs","20220329_042610_preprocessorCCM.log","D","Microsoft.PowerShell.Core\FileSystem","False","-----","-----","File:             D:\dev\40_PowerShell\tcs\data\input\Logs\20220329_042610_preprocessorCCM.log
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","20220329_042610_preprocessorCCM",,,"952","D:\dev\40_PowerShell\tcs\data\input\Logs","D:\dev\40_PowerShell\tcs\data\input\Logs","False","D:\dev\40_PowerShell\tcs\data\input\Logs\20220329_042610_preprocessorCCM.log",".log","20220329_042610_preprocessorCCM.log","True","29.03.2022 16:26:10","29.03.2022 14:26:10","20.04.2022 23:42:57","20.04.2022 21:42:57","29.03.2022 16:26:10","29.03.2022 14:26:10",,"Normal"
"Microsoft.PowerShell.Core\FileSystem::D:\dev\40_PowerShell\tcs\data\input\Logs\20220329_042502_preprocessorCCM.log","Microsoft.PowerShell.Core\FileSystem::D:\dev\40_PowerShell\tcs\data\input\Logs","20220329_042502_preprocessorCCM.log","D","Microsoft.PowerShell.Core\FileSystem","False","-----","-----","File:             D:\dev\40_PowerShell\tcs\data\input\Logs\20220329_042502_preprocessorCCM.log
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","20220329_042502_preprocessorCCM",,,"952","D:\dev\40_PowerShell\tcs\data\input\Logs","D:\dev\40_PowerShell\tcs\data\input\Logs","False","D:\dev\40_PowerShell\tcs\data\input\Logs\20220329_042502_preprocessorCCM.log",".log","20220329_042502_preprocessorCCM.log","True","29.03.2022 16:25:02","29.03.2022 14:25:02","20.04.2022 23:42:57","20.04.2022 21:42:57","29.03.2022 16:25:02","29.03.2022 14:25:02",,"Normal"
"Microsoft.PowerShell.Core\FileSystem::D:\dev\40_PowerShell\PowerShell\data\input\logs\20220129_2246_main.log","Microsoft.PowerShell.Core\FileSystem::D:\dev\40_PowerShell\PowerShell\data\input\logs","20220129_2246_main.log","D","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             D:\dev\40_PowerShell\PowerShell\data\input\logs\20220129_2246_main.log
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","20220129_2246_main",,,"988","D:\dev\40_PowerShell\PowerShell\data\input\logs","D:\dev\40_PowerShell\PowerShell\data\input\logs","False","D:\dev\40_PowerShell\PowerShell\data\input\logs\20220129_2246_main.log",".log","20220129_2246_main.log","True","29.01.2022 22:46:06","29.01.2022 21:46:06","20.04.2022 23:42:56","20.04.2022 21:42:56","09.03.2022 23:16:33","09.03.2022 22:16:33",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\dev\40_PowerShell\tcs\data\input\Logs\20220329_043330_preprocessorCCM.log","Microsoft.PowerShell.Core\FileSystem::D:\dev\40_PowerShell\tcs\data\input\Logs","20220329_043330_preprocessorCCM.log","D","Microsoft.PowerShell.Core\FileSystem","False","-----","-----","File:             D:\dev\40_PowerShell\tcs\data\input\Logs\20220329_043330_preprocessorCCM.log
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","20220329_043330_preprocessorCCM",,,"1088","D:\dev\40_PowerShell\tcs\data\input\Logs","D:\dev\40_PowerShell\tcs\data\input\Logs","False","D:\dev\40_PowerShell\tcs\data\input\Logs\20220329_043330_preprocessorCCM.log",".log","20220329_043330_preprocessorCCM.log","True","29.03.2022 16:33:30","29.03.2022 14:33:30","20.04.2022 23:42:57","20.04.2022 21:42:57","29.03.2022 16:33:30","29.03.2022 14:33:30",,"Normal"
"Microsoft.PowerShell.Core\FileSystem::D:\dev\40_PowerShell\tcs\data\input\Logs\20220329_043405_preprocessorCCM.log","Microsoft.PowerShell.Core\FileSystem::D:\dev\40_PowerShell\tcs\data\input\Logs","20220329_043405_preprocessorCCM.log","D","Microsoft.PowerShell.Core\FileSystem","False","-----","-----","File:             D:\dev\40_PowerShell\tcs\data\input\Logs\20220329_043405_preprocessorCCM.log
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","20220329_043405_preprocessorCCM",,,"1088","D:\dev\40_PowerShell\tcs\data\input\Logs","D:\dev\40_PowerShell\tcs\data\input\Logs","False","D:\dev\40_PowerShell\tcs\data\input\Logs\20220329_043405_preprocessorCCM.log",".log","20220329_043405_preprocessorCCM.log","True","29.03.2022 16:34:04","29.03.2022 14:34:04","20.04.2022 23:42:57","20.04.2022 21:42:57","29.03.2022 16:34:04","29.03.2022 14:34:04",,"Normal"
